loan_id,loan_type,borrower_segment,sector,bureau_score,loan_amount,tenure_months,interest_rate,emi_to_income_ratio,collateral_coverage_ratio,utilization_ratio,dpd_last_3m,dpd_last_12m_max,num_restructures,existing_npa_flag,sector_stress_index,gst_filing_delay_days,turnover_decline_pct_yoy,vintage_months,news_headline_text,news_sentiment_score,txn_narration_sample,gst_remark_text,true_pd_12m,default_12m
L102058,Retail-Personal,Salaried,Real Estate,673.0,182908.0,135,11.03,0.404,0.889,0.959,1,5,0,0,0.03,0.9,-6.14,8,files regular GST returns on schedule,0.227,LOAN RESTRUCTURE REQUEST,FILED ON TIME - NO DISCREPANCY,0.1264,1
L102059,Retail-Personal,Salaried,Construction,637.0,901610.0,153,11.21,0.461,0.904,0.459,1,3,0,0,0.478,9.6,-33.05,117,renews existing supplier agreements,0.07,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0834,0
L102060,Agri,Agri-Borrower,Agriculture,751.0,1321580.0,110,13.8,0.36,0.749,0.288,1,4,0,0,0.193,6.4,-10.44,111,sees promoter stake pledge increase sharply,-0.71,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.1387,0
L102061,Retail-Home,Salaried,Manufacturing,589.0,663995.0,43,8.85,0.228,1.036,0.76,6,8,2,0,0.421,13.9,15.3,114,reports record quarterly revenue growth,0.68,PENALTY CHARGE LATE EMI,FILED ON TIME - NO DISCREPANCY,0.53,0
L102062,MSME,Business-Owner,Construction,651.0,146329.0,123,14.3,0.374,1.213,0.596,0,4,0,0,0.357,1.5,-3.53,83,hit by raw material cost spike and margin pressure,-0.398,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.0573,0
L102063,Retail-Personal,Salaried,Construction,513.0,5183628.0,228,6.88,0.532,0.418,0.84,5,7,1,0,0.303,3.7,-13.48,161,sees promoter stake pledge increase sharply,-0.453,LOAN RESTRUCTURE REQUEST,FILED ON TIME - NO DISCREPANCY,0.7841,0
L102064,Retail-Auto,Self-Employed,Healthcare,733.0,893965.0,168,13.5,0.54,1.147,0.793,0,3,0,0,0.644,3.8,-11.02,71,renews existing supplier agreements,0.063,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0227,0
L102065,Agri,Agri-Borrower,Trading,792.0,112158.0,172,14.33,0.05,1.525,0.691,1,5,0,0,0.299,0.0,-4.05,72,expands operations with new manufacturing unit,0.882,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0024,0
L102066,MSME,Business-Owner,Hospitality,762.0,556836.0,141,13.92,0.444,0.39,0.639,1,5,0,0,0.407,1.4,-11.84,57,renews existing supplier agreements,-0.213,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0537,0
L102067,Agri,Agri-Borrower,Trading,753.0,347198.0,94,12.31,0.276,0.962,0.794,2,4,0,0,0.521,3.7,-3.4,155,expands operations with new manufacturing unit,0.395,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0531,0
L102068,Retail-Home,Salaried,IT/ITES,756.0,445552.0,118,12.68,0.41,1.082,0.776,2,3,0,0,0.205,4.0,21.4,20,renews existing supplier agreements,0.273,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0384,0
L102069,MSME,Business-Owner,Manufacturing,743.0,119004.0,106,10.3,0.145,1.213,0.787,2,4,1,0,0.21,13.1,-12.31,60,reports order book decline for third straight quarter,-0.397,EMI AUTO DEBIT SUCCESS,DELAYED FILING - MISMATCH IN ITC CLAIM,0.1935,0
L102070,Corporate,Corporate-Entity,Real Estate,735.0,469658.0,144,8.13,0.285,1.259,0.781,0,2,0,0,0.546,4.9,-0.88,74,upgraded by rating agency on strong fundamentals,0.424,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0446,0
L102071,Retail-Auto,Self-Employed,IT/ITES,741.0,177304.0,205,12.25,0.109,1.382,0.533,3,6,1,0,0.498,4.5,18.86,26,wins large government infrastructure contract,0.827,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0337,0
L102072,Retail-Home,Salaried,Real Estate,621.0,301193.0,15,11.71,0.285,0.954,0.348,2,4,0,0,0.0,33.5,17.45,47,continues routine operations this quarter,-0.082,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.1742,1
L102073,Corporate,Corporate-Entity,Hospitality,662.0,677516.0,120,14.27,0.441,0.501,0.557,0,2,0,0,0.371,7.8,-11.54,25,faces liquidity crunch amid delayed receivables,-0.269,CHEQUE RETURN INSUFFICIENT FUNDS,FILED ON TIME - NO DISCREPANCY,0.3873,0
L102074,Retail-Auto,Self-Employed,Real Estate,686.0,261896.0,72,11.08,0.417,0.757,0.449,1,2,0,0,0.262,4.4,-1.89,138,under scrutiny after key client contract termination,-0.76,CHEQUE RETURN INSUFFICIENT FUNDS,FILED ON TIME - NO DISCREPANCY,0.3168,0
L102075,MSME,Business-Owner,IT/ITES,650.0,321430.0,237,11.98,0.672,1.477,0.318,0,4,0,0,0.37,4.4,28.24,12,sees promoter stake pledge increase sharply,-0.504,CHEQUE RETURN INSUFFICIENT FUNDS,FILED ON TIME - NO DISCREPANCY,0.4479,1
L102076,Agri,Agri-Borrower,Real Estate,539.0,1090618.0,45,12.36,0.273,0.548,0.949,5,8,0,0,0.416,4.2,2.58,138,files regular GST returns on schedule,0.144,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.0973,1
L102077,Retail-Personal,Salaried,Manufacturing,569.0,166465.0,26,13.22,0.218,1.108,0.547,5,10,0,0,0.375,1.6,2.26,126,reports order book decline for third straight quarter,-0.411,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0993,0
L102078,Retail-Home,Salaried,IT/ITES,701.0,216801.0,172,14.35,0.558,1.238,0.287,1,1,0,0,0.395,1.1,-4.85,116,sees promoter stake pledge increase sharply,-0.528,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0742,0
L102079,Retail-Personal,Salaried,Hospitality,762.0,111296.0,73,8.64,0.093,1.145,0.885,2,5,0,0,0.616,13.6,-20.51,20,reports record quarterly revenue growth,0.583,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0202,0
L102080,Retail-Auto,Self-Employed,Construction,681.0,178948.0,61,13.61,0.379,1.272,0.579,1,4,0,0,0.661,1.2,-1.76,72,continues routine operations this quarter,0.182,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.0658,1
L102081,Retail-Personal,Salaried,Hospitality,900.0,509934.0,130,10.96,0.425,0.887,0.799,1,8,1,0,0.683,0.2,-7.73,139,continues routine operations this quarter,0.115,LOAN RESTRUCTURE REQUEST,DELAYED FILING - MISMATCH IN ITC CLAIM,0.2747,0
L102082,MSME,Business-Owner,Textiles,597.0,893955.0,223,13.43,0.05,0.859,0.458,9,14,1,0,0.338,4.8,18.61,92,renews existing supplier agreements,-0.249,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.3224,0
L102083,Retail-Personal,Salaried,Agriculture,720.0,182265.0,42,15.94,0.186,1.626,0.699,0,2,0,1,0.435,5.7,-17.66,72,files regular GST returns on schedule,0.188,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.299,0
L102084,MSME,Business-Owner,Construction,796.0,865267.0,134,6.0,0.145,1.689,0.71,0,4,0,0,0.595,3.1,7.42,103,faces liquidity crunch amid delayed receivables,-0.517,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0584,0
L102085,Retail-Home,Salaried,Trading,776.0,496698.0,93,15.14,0.475,1.479,0.576,1,3,0,0,0.391,13.8,-14.83,63,files regular GST returns on schedule,0.06,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0311,0
L102086,Retail-Home,Salaried,Real Estate,739.0,96678.0,54,11.14,0.254,1.12,0.393,1,4,1,0,0.143,9.5,-6.69,146,renews existing supplier agreements,-0.217,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.1504,0
L102087,Retail-Home,Salaried,Healthcare,776.0,536068.0,130,8.93,0.311,0.67,0.65,1,2,0,0,0.676,3.0,22.52,19,flags working capital stress in latest filing,-0.372,MINIMUM BALANCE PENALTY,FILED ON TIME - NO DISCREPANCY,0.6128,0
L102088,MSME,Business-Owner,Agriculture,685.0,1645892.0,231,10.19,0.108,0.955,0.7,1,4,0,0,0.172,3.4,12.34,43,files regular GST returns on schedule,0.204,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0115,0
L102089,Retail-Auto,Self-Employed,Hospitality,830.0,55196.0,71,8.41,0.229,0.848,0.25,3,6,0,0,0.605,3.9,9.55,84,secures fresh equity investment round,0.694,OD LIMIT BREACH,FILED ON TIME - NO DISCREPANCY,0.0589,0
L102090,Retail-Auto,Self-Employed,Trading,795.0,4015715.0,61,13.02,0.231,1.34,1.155,0,8,0,0,0.25,1.4,-13.34,29,wins large government infrastructure contract,0.667,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0138,0
L102091,Corporate,Corporate-Entity,Healthcare,603.0,226032.0,49,8.4,0.317,1.056,0.957,4,7,0,0,0.571,0.6,29.64,120,reports order book decline for third straight quarter,-0.443,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.5394,1
L102092,MSME,Business-Owner,Agriculture,709.0,72113.0,152,15.11,0.304,1.134,0.587,4,8,0,0,0.58,1.1,14.63,143,files regular GST returns on schedule,-0.11,ECS BOUNCE CHARGES,FILED ON TIME - NO DISCREPANCY,0.0955,0
L102093,Retail-Personal,Salaried,IT/ITES,541.0,515177.0,73,13.58,0.571,0.887,0.763,5,7,2,0,0.15,9.5,9.36,8,renews existing supplier agreements,0.09,VENDOR PAYMENT NEFT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.7349,0
L102094,Agri,Agri-Borrower,Manufacturing,817.0,1103719.0,147,12.18,0.454,0.0,0.546,0,1,0,0,0.412,1.6,-3.01,100,continues routine operations this quarter,0.217,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.0679,0
L102095,Retail-Home,Salaried,IT/ITES,700.0,324981.0,30,6.0,0.084,1.425,0.392,5,8,0,0,0.427,2.8,-24.1,46,files regular GST returns on schedule,0.021,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.1262,0
L102096,Retail-Personal,Salaried,IT/ITES,801.0,623285.0,172,7.53,0.503,0.874,0.788,3,9,1,0,0.484,0.3,22.33,49,faces liquidity crunch amid delayed receivables,-0.719,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.497,1
L102097,Retail-Auto,Self-Employed,Hospitality,670.0,4554883.0,56,11.26,0.482,1.287,0.346,1,3,0,0,0.534,1.7,9.69,155,wins large government infrastructure contract,0.667,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0228,0
L102098,Retail-Personal,Salaried,Construction,513.0,554720.0,31,11.42,0.36,0.765,0.643,6,7,1,0,0.356,3.9,-19.06,164,renews existing supplier agreements,-0.016,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.3346,0
L102099,Retail-Home,Salaried,Manufacturing,900.0,11766138.0,25,14.32,0.498,1.549,0.385,0,4,0,0,0.415,0.1,-1.9,147,reports record quarterly revenue growth,0.0,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0164,0
L102100,MSME,Business-Owner,Manufacturing,692.0,1778167.0,192,6.0,0.53,0.686,0.34,0,2,0,0,0.351,8.3,6.42,35,files regular GST returns on schedule,-0.03,MINIMUM BALANCE PENALTY,FILED ON TIME - NO DISCREPANCY,0.2704,1
L102101,Retail-Personal,Salaried,Trading,590.0,468218.0,229,9.22,0.277,0.872,0.587,5,8,0,0,0.399,0.2,-3.75,126,renews existing supplier agreements,0.056,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.1502,0
L102102,Corporate,Corporate-Entity,Services,783.0,609681.0,107,14.01,0.167,0.906,0.811,3,5,1,0,0.636,6.3,-9.02,67,renews existing supplier agreements,-0.115,ECS BOUNCE CHARGES,FILED ON TIME - NO DISCREPANCY,0.3774,0
L102103,Agri,Agri-Borrower,Real Estate,863.0,311334.0,48,10.49,0.435,0.297,0.615,2,6,0,0,0.595,4.1,2.71,97,reports order book decline for third straight quarter,-0.486,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0863,0
L102104,MSME,Business-Owner,Trading,662.0,582180.0,199,10.1,0.228,1.064,0.566,0,1,0,0,0.693,0.4,-9.9,13,reports record quarterly revenue growth,0.292,OD LIMIT BREACH,FILED ON TIME - NO DISCREPANCY,0.0834,0
L102105,MSME,Business-Owner,Trading,671.0,820536.0,12,6.66,0.39,1.231,0.101,1,3,0,0,0.364,1.4,10.2,161,hit by raw material cost spike and margin pressure,-0.198,ECS BOUNCE CHARGES,FILED ON TIME - NO DISCREPANCY,0.3583,0
L102106,MSME,Business-Owner,Manufacturing,701.0,283633.0,84,14.68,0.194,1.068,0.5,0,1,0,1,0.37,1.9,6.7,47,wins large government infrastructure contract,0.273,LOAN RESTRUCTURE REQUEST,DELAYED FILING - MISMATCH IN ITC CLAIM,0.2948,1
L102107,Agri,Agri-Borrower,Construction,580.0,96958.0,230,10.05,0.496,1.827,0.197,6,6,0,0,0.426,12.3,-16.51,86,renews existing supplier agreements,-0.017,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.2264,0
L102108,Retail-Home,Salaried,IT/ITES,618.0,1892495.0,101,14.78,0.236,0.544,0.564,6,7,0,0,0.144,0.2,-6.8,109,continues routine operations this quarter,-0.115,GST PAYMENT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.0774,0
L102109,Retail-Personal,Salaried,Services,840.0,1290875.0,184,15.9,0.318,0.21,0.549,3,5,0,0,0.313,8.5,0.73,162,expands operations with new manufacturing unit,0.546,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.0192,0
L102110,MSME,Business-Owner,Agriculture,668.0,93079.0,94,15.45,0.309,0.424,0.535,1,6,0,0,0.553,7.7,-9.42,49,renews existing supplier agreements,0.3,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0932,0
L102111,MSME,Business-Owner,Services,605.0,533967.0,72,11.4,0.138,0.934,0.542,10,14,1,0,0.459,5.3,16.47,80,renews existing supplier agreements,0.055,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.6073,1
L102112,Retail-Personal,Salaried,Real Estate,639.0,1369259.0,84,10.05,0.512,1.38,0.676,5,6,0,1,0.476,1.9,-1.52,12,wins large government infrastructure contract,0.641,CHEQUE RETURN INSUFFICIENT FUNDS,FILED ON TIME - NO DISCREPANCY,0.5147,0
L102113,MSME,Business-Owner,Manufacturing,777.0,1222125.0,212,9.84,0.543,0.97,0.692,2,5,0,0,0.438,6.0,-4.91,40,reports order book decline for third straight quarter,-0.601,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.1497,0
L102114,Retail-Personal,Salaried,Services,502.0,206206.0,114,17.41,0.328,0.703,0.635,5,12,0,0,0.399,4.6,-3.41,109,under scrutiny after key client contract termination,-0.666,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.286,0
L102115,Agri,Agri-Borrower,Textiles,703.0,1303194.0,210,10.86,0.236,1.499,0.792,0,1,0,0,0.379,19.5,-16.43,114,continues routine operations this quarter,-0.082,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.0487,0
L102116,Retail-Home,Salaried,Real Estate,900.0,449822.0,237,14.66,0.315,0.854,0.0,2,3,0,0,0.484,11.2,-17.1,81,renews existing supplier agreements,-0.208,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0331,0
L102117,Retail-Personal,Salaried,Agriculture,863.0,678436.0,180,12.95,0.274,0.35,0.299,1,5,0,0,0.439,8.5,8.35,86,continues routine operations this quarter,0.026,FD RENEWAL,DELAYED FILING - MISMATCH IN ITC CLAIM,0.0766,0
L102118,Retail-Personal,Salaried,Manufacturing,732.0,160903.0,79,10.27,0.347,1.299,0.66,1,3,0,0,0.568,1.4,6.11,31,files regular GST returns on schedule,-0.063,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.0327,0
L102119,Retail-Home,Salaried,Textiles,798.0,50000.0,147,10.74,0.303,1.158,0.551,0,4,0,0,0.015,2.8,21.81,113,files regular GST returns on schedule,0.014,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.089,0
L102120,Retail-Home,Salaried,Services,798.0,188139.0,96,15.05,0.214,0.995,0.335,1,3,0,0,0.29,1.4,-2.52,105,renews existing supplier agreements,0.12,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.0118,0
L102121,Retail-Personal,Salaried,Construction,669.0,798296.0,145,11.59,0.52,1.549,0.659,2,6,0,0,0.252,7.0,-11.45,92,continues routine operations this quarter,0.26,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0171,0
L102122,Retail-Home,Salaried,Hospitality,763.0,352930.0,172,10.14,0.318,0.858,0.734,1,6,0,0,0.307,2.6,4.98,83,files regular GST returns on schedule,0.06,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0315,0
L102123,Retail-Personal,Salaried,Hospitality,841.0,904565.0,232,9.08,0.64,1.012,0.361,1,6,0,0,0.267,2.7,31.76,102,under scrutiny after key client contract termination,-0.257,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0819,0
L102124,Retail-Auto,Self-Employed,Services,566.0,1493697.0,190,12.46,0.366,0.51,0.389,7,7,2,0,0.459,1.1,0.56,73,hit by raw material cost spike and margin pressure,-0.673,VENDOR PAYMENT NEFT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.7478,1
L102125,Retail-Auto,Self-Employed,Textiles,732.0,307561.0,118,9.95,0.289,0.618,0.141,1,4,0,0,0.775,1.5,-9.5,119,hit by raw material cost spike and margin pressure,-0.517,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.2206,0
L102126,Retail-Home,Salaried,Textiles,713.0,276000.0,209,13.28,0.308,0.71,0.525,0,0,0,0,0.219,2.6,6.2,34,renews existing supplier agreements,0.074,VENDOR PAYMENT NEFT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.0567,1
L102127,Retail-Home,Salaried,Hospitality,689.0,50000.0,196,19.13,0.295,1.177,0.539,3,7,0,0,0.44,5.1,8.34,33,renews existing supplier agreements,0.128,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.1132,1
L102128,Retail-Personal,Salaried,Hospitality,681.0,80625.0,78,13.05,0.334,0.63,0.285,1,2,0,0,0.466,2.9,12.78,3,flags working capital stress in latest filing,-0.591,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.3394,0
L102129,Retail-Personal,Salaried,Construction,701.0,101324.0,37,16.91,0.384,0.861,0.42,1,4,0,0,0.637,9.0,-3.21,95,continues routine operations this quarter,-0.139,MINIMUM BALANCE PENALTY,FILED ON TIME - NO DISCREPANCY,0.3992,0
L102130,Retail-Personal,Salaried,Manufacturing,708.0,816109.0,107,9.36,0.182,0.811,0.537,1,7,0,0,0.0,1.0,-6.43,35,upgraded by rating agency on strong fundamentals,0.163,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.04,0
L102131,MSME,Business-Owner,Manufacturing,781.0,310959.0,171,13.55,0.197,0.879,0.78,0,3,0,0,0.283,2.4,-25.56,161,upgraded by rating agency on strong fundamentals,0.803,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0087,0
L102132,Agri,Agri-Borrower,Manufacturing,723.0,245817.0,67,15.27,0.467,0.594,0.454,2,5,1,0,0.491,1.2,-13.48,127,renews existing supplier agreements,0.024,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.1633,0
L102133,Agri,Agri-Borrower,Healthcare,664.0,216724.0,237,15.64,0.427,0.817,0.324,0,3,0,0,0.277,6.1,-1.26,168,renews existing supplier agreements,-0.054,EMI AUTO DEBIT SUCCESS,DELAYED FILING - MISMATCH IN ITC CLAIM,0.1198,0
L102134,MSME,Business-Owner,Healthcare,604.0,187798.0,233,15.34,0.114,0.439,0.92,8,12,0,0,0.222,0.9,12.01,82,renews existing supplier agreements,0.008,ECS BOUNCE CHARGES,FILED ON TIME - NO DISCREPANCY,0.2235,0
L102135,MSME,Business-Owner,Real Estate,637.0,1221765.0,14,11.55,0.428,0.884,0.723,2,5,0,0,0.583,2.0,-5.6,17,files regular GST returns on schedule,0.189,EMI AUTO DEBIT SUCCESS,DELAYED FILING - MISMATCH IN ITC CLAIM,0.1929,0
L102136,Retail-Home,Salaried,Trading,704.0,490255.0,103,14.17,0.476,0.889,0.225,1,3,0,0,0.77,1.1,-4.01,75,renews existing supplier agreements,-0.3,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.2206,0
L102137,MSME,Business-Owner,Manufacturing,616.0,1316464.0,70,8.45,0.388,0.929,0.728,2,6,0,0,0.545,5.8,-11.36,161,sees promoter stake pledge increase sharply,-0.496,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.2265,1
L102138,MSME,Business-Owner,Trading,765.0,50000.0,210,16.32,0.102,1.124,0.419,0,3,0,0,0.315,2.5,8.09,40,faces liquidity crunch amid delayed receivables,-0.55,GST PAYMENT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.0815,0
L102139,Corporate,Corporate-Entity,IT/ITES,719.0,794928.0,190,8.64,0.149,1.624,0.806,2,10,0,0,0.438,9.9,8.01,122,reports order book decline for third straight quarter,-0.504,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0882,0
L102140,Agri,Agri-Borrower,Manufacturing,783.0,259842.0,164,15.26,0.343,0.236,0.446,1,5,1,0,0.472,5.2,-14.09,111,files regular GST returns on schedule,0.091,LOAN RESTRUCTURE REQUEST,DELAYED FILING - MISMATCH IN ITC CLAIM,0.1578,0
L102141,Retail-Auto,Self-Employed,IT/ITES,623.0,324610.0,179,14.63,0.632,0.752,0.101,0,1,0,0,0.743,0.3,-5.54,156,renews existing supplier agreements,0.081,ECS BOUNCE CHARGES,DELAYED FILING - MISMATCH IN ITC CLAIM,0.306,1
L102142,MSME,Business-Owner,Real Estate,605.0,1959322.0,193,14.61,0.269,0.535,0.407,5,7,0,0,0.34,8.4,-9.76,41,renews existing supplier agreements,0.095,UTILITY BILL PAYMENT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.1331,0
L102143,Corporate,Corporate-Entity,Trading,782.0,288129.0,179,17.7,0.441,1.025,0.33,1,4,0,0,0.594,7.0,4.41,144,upgraded by rating agency on strong fundamentals,0.663,ECS BOUNCE CHARGES,DELAYED FILING - MISMATCH IN ITC CLAIM,0.0438,0
L102144,Retail-Home,Salaried,Healthcare,692.0,760009.0,164,14.66,0.253,1.183,0.384,0,1,0,0,0.924,5.3,6.23,6,faces liquidity crunch amid delayed receivables,-0.554,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.34,0
L102145,Agri,Agri-Borrower,Textiles,662.0,144388.0,236,7.52,0.605,0.415,0.0,1,3,0,0,0.521,5.3,-17.64,132,expands operations with new manufacturing unit,0.044,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.1412,0
L102146,Retail-Personal,Salaried,Hospitality,743.0,460340.0,137,13.27,0.356,1.027,0.52,1,4,0,0,0.239,2.0,-9.05,107,sees promoter stake pledge increase sharply,-0.399,MINIMUM BALANCE PENALTY,FILED ON TIME - NO DISCREPANCY,0.0886,0
L102147,Agri,Agri-Borrower,Services,740.0,76851.0,33,6.0,0.168,1.246,0.041,0,2,0,0,0.619,5.4,17.9,179,expands operations with new manufacturing unit,0.743,MINIMUM BALANCE PENALTY,FILED ON TIME - NO DISCREPANCY,0.0788,0
L102148,MSME,Business-Owner,Services,567.0,415384.0,108,11.23,0.228,1.07,0.518,4,8,1,0,0.611,0.6,-2.37,44,continues routine operations this quarter,0.038,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.1262,0
L102149,Retail-Personal,Salaried,Manufacturing,805.0,676001.0,165,10.23,0.216,0.765,0.0,2,6,0,0,0.664,9.4,-3.62,50,continues routine operations this quarter,0.113,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0252,0
L102150,MSME,Business-Owner,Healthcare,643.0,1494066.0,211,13.41,0.367,1.17,0.276,1,5,0,0,0.516,2.2,13.66,55,renews existing supplier agreements,-0.137,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0566,0
L102151,Retail-Personal,Salaried,Real Estate,833.0,179929.0,158,9.03,0.246,0.798,0.687,2,5,0,0,0.062,3.6,15.36,176,renews existing supplier agreements,-0.016,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0294,0
L102152,MSME,Business-Owner,Manufacturing,560.0,247246.0,75,9.12,0.276,1.262,0.725,6,7,1,0,0.527,7.2,-10.67,121,secures fresh equity investment round,0.523,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.1405,0
L102153,Corporate,Corporate-Entity,Agriculture,709.0,217829.0,58,13.0,0.642,1.041,0.351,1,4,0,0,0.85,0.6,6.87,4,renews existing supplier agreements,-0.062,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.17,1
L102154,MSME,Business-Owner,Healthcare,663.0,334566.0,203,15.02,0.262,0.825,0.686,2,3,1,0,0.647,0.9,-3.33,95,renews existing supplier agreements,-0.192,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.3642,0
L102155,Corporate,Corporate-Entity,Healthcare,502.0,153231.0,60,11.51,0.376,0.397,0.093,3,9,2,0,0.129,5.3,-0.67,63,expands operations with new manufacturing unit,0.245,PENALTY CHARGE LATE EMI,FILED ON TIME - NO DISCREPANCY,0.7678,1
L102156,Retail-Personal,Salaried,Hospitality,739.0,50000.0,18,18.47,0.309,0.907,0.794,1,2,0,1,0.852,4.8,-12.39,123,continues routine operations this quarter,-0.216,FD RENEWAL,DELAYED FILING - MISMATCH IN ITC CLAIM,0.5604,1
L102157,Retail-Home,Salaried,Healthcare,507.0,140508.0,160,10.47,0.343,0.471,0.844,6,8,0,0,0.127,0.1,14.03,135,flags working capital stress in latest filing,-0.387,PENALTY CHARGE LATE EMI,FILED ON TIME - NO DISCREPANCY,0.6728,1
L102158,Retail-Auto,Self-Employed,Hospitality,654.0,419216.0,130,13.54,0.45,0.465,0.497,2,4,0,0,0.445,0.1,1.1,91,continues routine operations this quarter,0.114,CHEQUE RETURN INSUFFICIENT FUNDS,FILED ON TIME - NO DISCREPANCY,0.3068,1
L102159,Retail-Personal,Salaried,Hospitality,779.0,375904.0,161,12.52,0.05,0.761,0.44,0,2,0,0,0.386,0.6,16.92,8,renews existing supplier agreements,0.195,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.0428,0
L102160,Retail-Auto,Self-Employed,Hospitality,632.0,812062.0,117,10.47,0.373,0.87,0.0,1,4,0,0,0.136,0.1,-18.55,56,continues routine operations this quarter,-0.174,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.074,0
L102161,Retail-Home,Salaried,Agriculture,599.0,1117286.0,148,15.43,0.294,0.422,0.535,8,11,0,1,0.457,6.0,-8.34,40,reports order book decline for third straight quarter,-0.69,LOAN RESTRUCTURE REQUEST,FILED ON TIME - NO DISCREPANCY,0.9506,1
L102162,Retail-Auto,Self-Employed,Agriculture,752.0,269815.0,91,8.83,0.376,0.834,0.715,1,7,0,0,0.447,3.7,-12.81,63,files regular GST returns on schedule,0.147,VENDOR PAYMENT NEFT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.0169,0
